id,task,win,startf,posx_mean,posx_std,posy_mean,posy_std,eyex_mean,eyex_std,eyey_mean,eyey_std,eyexpos_corr,eyeypos_corr,path_total,path_speed,path_speed_sd,straightness,
103,2,10,35799,1.2994,5.5853,4.9743,1.2931,51.5866,16.7058,28.0142,3.7764,0.62211,0.030389,11.8424,1.1842,0.15064,1.0003,
103,2,11,35949,10.8103,11.6168,5.2376,2.5051,58.6484,13.1123,30.9496,4.8565,0.7526,0.4071,10.4596,1.046,0.12111,1.0022,
103,2,12,36099,20.8785,8.0636,6.923,3.1364,65.8994,14.5772,35.0187,5.2626,0.7199,0.11704,11.3037,1.1304,0.22922,1.0055,
103,2,13,36249,15.9218,9.5893,4.3764,4.4983,60.9913,17.621,31.0538,6.8764,0.81084,0.63045,12.9395,1.2939,0.20327,1.0015,
103,2,14,36399,9.8111,12.433,1.575,2.397,54.5305,18.2823,27.0931,4.5455,0.7055,-0.017823,13.1336,1.3134,0.075089,1.0035,
103,2,15,36549,7.5223,12.6582,3.7886,2.3288,49.4137,18.0998,28.4646,5.3729,0.51421,0.010994,8.8182,0.88182,0.40872,1.007,
103,2,16,36699,4.4586,6.0269,5.171,2.6079,50.738,15.3651,27.6479,4.6114,-0.0050804,0.12629,6.7807,0.67807,0.29431,1.0185,
103,2,17,36849,3.4509,7.0233,4.0482,10.6289,59.0613,14.9476,29.9488,7.2367,0.61662,0.34106,10.9254,1.0925,0.31332,1.049,
103,2,18,36999,-1.8408,19.2615,-1.9287,14.6668,52.8357,18.8084,32.0142,7.7108,0.74965,-0.03643,8.8693,0.88693,0.4722,1.1504,
103,2,19,37149,-8.6098,18.5862,-2.5999,10.7087,42.3351,17.0092,31.6428,6.3962,0.72654,-0.30432,6.8072,0.68072,0.3122,1.1184,
103,2,20,37299,-6.2752,18.1467,3.5052,4.1897,44.79,18.2571,30.6434,6.1106,0.63805,-0.36176,9.8647,0.98647,0.16393,1.0058,
103,2,21,37449,-7.1683,19.062,4.8912,3.3814,43.1528,19.048,29.229,6.1619,0.69077,-0.29849,10.8792,1.0879,0.062929,1.0042,
103,2,22,37599,-0.25394,19.7304,4.8529,3.8478,45.1344,18.3136,26.9319,5.4588,0.79687,-0.30127,11.442,1.1442,0.10325,1.1301,
103,2,23,37749,12.4999,16.3639,5.3087,3.256,54.3762,16.0238,24.5819,5.352,0.56957,0.18653,8.6206,0.86206,0.34899,1.1541,
103,2,24,37899,15.4535,15.2816,2.743,5.0159,55.3898,15.9643,24.2334,5.1818,0.6642,0.29113,5.4336,0.54336,0.19717,1.4053,
103,2,25,38049,19.0874,14.8679,2.66,5.5905,58.4571,18.2353,26.8153,6.043,0.80911,0.37744,6.476,0.6476,0.2174,1.1501,
103,2,26,38199,10.913,15.4506,5.2898,3.3974,45.5314,20.0318,27.7366,6.1324,0.81893,0.44206,9.7891,0.97891,0.25243,1.0247,
103,2,27,38349,2.5111,13.8578,4.271,2.5873,46.5889,19.9506,25.991,4.4126,0.6867,0.21667,10.4412,1.0441,0.17115,1.1152,
103,2,28,38499,11.0834,16.736,3.0495,3.0948,54.407,20.7733,26.4951,3.7396,0.68674,-0.11614,9.8778,0.98778,0.12395,1.0824,
103,2,29,38649,20.2668,11.058,4.0211,4.6008,54.1573,18.5814,27.6161,4.5405,0.83314,-0.3484,10.0524,1.0052,0.12644,1.1412,
